CID,SMILES
CID105755,CC1=CCC2C(CC2(C)C)C(=C)CCC1OC(=O)C
CID105758,CCOC1=NC=C(N=C1)C
CID105764,CC1=CC=C(C=C1)OCC=O
CID10582,CC1(C2CC=C(C1C2)CO)C
CID10582821,CCCC(=S)OCC
CID10583,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C
CID105844,CCCC(=O)OC1=C(OC=CC1=O)C
CID105896,CCCCCCCCCC=NC1=CC=CC=C1C(=O)OC
CID1060,CC(=O)C(=O)O
CID10608036,CCCCC1(CCC(=O)O1)CCCC
CID106157,CC(C)CCCCCCCCCCOC(CC(C)CCC=C(C)C)OCCCCCCCCCCC(C)C
CID106158,CCOC(CCCCCC(C)C)OCC
CID106216,CC(C)C1=NC=CN=C1SC
CID106217,CC(C)(C=O)SSC
CID106442,CC(C)OCCC1=CC=CC=C1
CID106443,CCC1=CN=C(C=N1)OC
CID106523,CCCCCCCCC=CCC=O
CID106530,CC(C)CCOC(=O)CC(C(=O)OCCC(C)C)S
CID10655819,CC(=C1CC[C@]2(CCCC(=C)[C@@H]2C1)C)C
CID10657,CC1=CC[C@@H]2[C@@H](C1)[C@@H](CC=C2C)C(C)C
CID10659,COC1=C2C(=C(C(=C1)CC=C)OC)OCO2
CID106672,CC(C1C2CCC(C2)C1(C)C)O
CID106673,CC1C2CC(C1(C)C)CC2C3CCC(CC3)O
CID106674,CC1(C2CCC1(C(C2)C3CCC(CC3)O)C)C
CID106684,CC(C)CCCC1=CCC(CC1)(C)C=O
CID106697,CC1CC(CC(=C1)C)C#N
CID106711,CC(CCOC=O)CC(C)(C)C
CID106713,CC(C)C12CCC(C=C1)(C(C2)C(=O)OC)C
CID106714,CCOC1CC(CC(C1)(C)C)C
CID106725,CCOC(C1CC2CC1C3C2CC=C3)OCC
CID106728,CCCC(=O)OCC(=CCCC1(C2CC3C1(C3C2)C)C)C
CID106729,CC(C)CCOCC(=O)OCC=C
CID106730,CCC(C)COCC(=O)OCC=C
CID106731,CC(C)C1CCC(CC1)C(C)CO
CID106735,CC1C=C(CC(C1C)C=O)C
CID106739,CC1CCC(C(C1)C(C)(C)C)O
CID106740,CC(C)(CCCC1=CCC(CC1)C=NC2=CC=CC=C2C(=O)OC)O
CID106743,CC1C=C(CCC1CO)C
CID106745,CC(C)C(=O)OC1CC2CC1C3C2CC=C3
CID106746,CC1CCC(C(C1)C)COC(=O)C
CID106748,CC1CC(CC(=C1)C)COC(=O)C
CID106749,CC1C=C(CCC1COC(=O)C)C
CID106756,CCCCCCC1C(CC(=O)O1)C
CID106766,CC(=CCC(C)(C)C(OC)OC)C
CID106770,CC(=O)OC(C)(C)C1CCC(O1)(C)C=C
CID106787,CCCCC1(CCC(=O)OC1)CC
CID106788,CCCCCCCCCC(C)C(OCC)OCC
CID106799,CCCCCCCCCC(C)C=NC1=CC=CC=C1C(=O)OC
CID1068,CSC
CID106805,CCOC1C(C2CCC1(C2)C)(C)C
CID106823,CCCCCCC(CO)C(=O)C
CID106826,CC(CCCC(C)(C)O)CC(N1C=CC2=CC=CC=C21)N3C=CC4=CC=CC=C43
CID106829,CC(CC=NC1=CC=CC=C1C(=O)OC)CC(C)(C)C
CID106862,CC(=O)C1(CC(=O)C(O1)(C)SCC2=CC=CO2)C
CID106866,CC1=CC2CC(C1CC2C(C)C)C=O
CID10687,CC1=C(C(=CC=C1)O)C
CID106871,CC(CCC=C(C)C)CC=NC1=CC=CC=C1C(=O)OC
CID106917,CC1CC(CC(C1)(C)C)OC(=O)C
CID106919,CC(CCCC(C)(C)O)CC(C1=CNC2=CC=CC=C21)C3=CNC4=CC=CC=C43
CID106936,CC(C)CCCC(C)CCOC(=O)CC1=CC=CC=C1
CID106937,CC(C)C(=O)OC1CCC2CCCCC2C1
CID106963,CC12CCCC3(C1(CCC4C3(O4)C)C)CC2
CID106973,CC(C)CCCCCCCCCCOC(CC(C)CCCC(C)(C)O)OCCCCCCCCCCC(C)C
CID10698,CC1=CC(=C(C(=C1)C)O)C
CID106997,CCC1(C(C2CCC1(C2)C)(C)C)O
CID107,C1=CC=C(C=C1)CCC(=O)O
CID107035,CC1(CCC2C3(C14CCC(C4)C3(C)C)O2)C
CID107057,CC(CCC=C(C)C)CCOC(C)OC
CID107059,CCCCCOC(=O)C(C)CC
CID107065,CC1CCC2C13CC(C2(C)C)C(=C(C3)C(=O)C)C
CID107068,CC(C)C(=O)OC1CC2CC1C3C2C=CC3
CID107069,CC1CC(=CC(O1)C2=CC=CC=C2)C
CID107071,CC(C)(C)C(=O)OC1CC2CC1C3C2C=CC3
CID107073,CC=CC(=O)OC(C)C1CCCCC1
CID107074,CC=CC(=O)OC1CCCC1C2CCCC2
CID107098,CC(CC(C)(C)C1=CC=CC=C1)OC(=O)C
CID107099,CC(=CCCC1=CCCC(C1)C#N)C
CID107113,CC(C)C1C(COC(O1)C(C)C)(C)C
CID107119,CC1CCC(CC2C1CCC2C)C(C)(C)O
CID107152,CC1CCC(CC2=C1CCC2C)C(=C)C
CID107166,CC1(CCCC2(C1CCC3(C2CCO3)C)C)C
CID107217,CC(=O)OC1C(C2CCC1(C2)C)(C)C
CID10722,CC1=CC=CC=C1C=O
CID107231,CC(CS)C(=O)OC
CID10725569,CCCCCC1=CCC(=O)O1
CID107271,CCCCC(CC)C1OCCO1
CID107272,CC1CCCC(C1CCC(C)O)(C)C
CID107333,CC1C(C2=C(C1(C)C)C=C(C=C2)C(=O)C)(C)C
CID107381,CC1CC(OC(O1)C)(C)C2=CC=CC=C2
CID10741,COC1=CC(=CC(=C1O)OC)CO
CID10742,COC1=CC(=CC(=C1O)OC)C(=O)O
CID10743,COC1=CC(=CC(=C1O)OC)C=CC(=O)O
CID10748,COC1=CC2=C(C=C1)C=CC(=O)O2
CID107519,CC=CC1=CC(=C(C=C1)OC(=O)C2=CC=CC=C2)OC
CID107561,CC1=CC(=O)[C@H](CC1)C(C)C
CID10757,C1=CC=C(C=C1)C(=O)CCl
CID107689,C[C@@H](C(=O)O)O
CID10778,CC1=CC=CC=C1OC(=O)C
CID10795,CC(OC)OC
CID10796756,C1COC(=O)C1CC=O
CID10797,CC1=CC=CO1
CID10817,CC1=CC=C(C=C1)C(C)O
CID10819,CC(=C)C1CCC(=CC1)CO
CID10820954,C[C@H]1[C@@H]2CCC(=C[C@@H]2OC1=O)C
CID10822,CCC1=CC=NC=C1
CID10823,CCC1=CN=CC=C1
CID108237,CCCCCCOC(C)OC
CID108242,CC1CC2=C(CC1(C)C(=O)C)C(CCC2)(C)C
CID108244,CCCCCCOC(C)OCC
CID108245,CCC1C2CCCCC2OC1=O
CID108312,CC(CCC1=CC=CC=C1)CCO
CID108313,CC(CCC1=CC=CC=C1)CC=O
CID108335,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)C)OC(=O)C
CID108343,CCOC(=O)C(=CC)C
CID108345,CC1CCOC(O1)C=C(C)C
CID108355,CC(=CCC=C(C)CC=O)C
CID108377,CC(C)CC(=O)OC1C(C2CCC1(C2)C)(C)C
CID108410,CC(=C)C1C(C(CCC1(C)C=C)COC(=O)C)(C)C
CID108424,CCC(CCC1C(CCCC1(C)C)C)O
CID108425,CC1CCCC(C1CC(C)C(C)O)(C)C
CID108426,CC1CCCC(C1CC(C)C(C)OC(=O)C)(C)C
CID108443,CC1=CCOC(C1)C2=CC=CC=C2
CID108446,CC1=C(C2(CCC1(C(C2(C)O)(C)C)C)C)C
CID10850,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC
CID108501,CC1N=C(CS1)C
CID108506,CCC(C)CCC(C)(CC)OC(=O)C
CID108515,CCOC(=O)C(=O)OCCC(C)CCC=C(C)C
CID108518,CCCCCCC(CC)OC(=O)C
CID108523,CCC1(CC(C2=CC=CC=C21)(C)C)C
CID108529,CCCCCCCCC=CC=CC=O
CID10856172,CCCCC1CC(C(=O)O1)C(=O)C
CID10857465,C[C@]12CCCC([C@@H]1CC[C@@]3([C@@H]2CCO3)C)(C)C
CID108625,CCCCCCCCC(OCC)OCC
CID108662,CC(=CCCC(=C)CC=O)C
CID10867438,CC1([C@@H]2CC[C@@]3(C2)[C@@H](C1=C)CCC3=O)C
CID10867491,CCCCNC1=CC=CC=C1C(=O)OC
CID10869,COCC1=CC=CC=C1
CID10873,CCOCC1=CC=CC=C1
CID10874,CCCCC1=CN=CC=C1
CID108764,CC1=CC(=C(O1)C)SC(=O)C
CID108765,CC1=C(C=CO1)SC(=O)C
CID10877336,CCOC(=O)CC1CCC=C1
CID10877566,CC1=CC[C@H](CC1)C(C)(C)S
CID10878761,C[C@H]1CCC=C([C@]12CC[C@H](C2)C(C)(C)O)C
CID1088,CNCC(=O)O
CID10882,CCCCC(=O)OCC
CID10883,CCOC(=O)CCC(=O)C
CID10885,CCCC(=O)OCC(C)C
CID10886,CCCCCC(=O)OCCCCC
CID10887828,CSCC=O
CID108879,C1=CC=C(C=C1)CCCOC(=O)CCC2=CC=CC=C2
CID10889018,CC(=CCC[C@@]1([C@H]2CC[C@H](C2)C1=C)C)C
CID10890,CCCCCOC(=O)CCC
CID108902,CCCCCCCCCC(=O)OCCCCCCC
CID108940,CC(=O)OCCCC1CCCCC1
CID10895,CCC(=O)OCC(C)C
CID10899740,C[C@@H]1CC[C@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CCC2=C
CID10902,C(CS)S
